date,mean_interest_rate
2021-04-02,11.793255131
2021-04-03,11.859590792
2021-04-04,11.678571428
2021-04-05,11.732311320
2021-04-06,11.571636363
2021-04-07,11.581509433
2021-04-08,11.361843971
2021-04-09,11.689830508
2021-04-10,12.055813953
2021-04-11,11.588416988
2021-04-12,11.678913043
2021-04-13,11.838498789
2021-04-14,11.613537117
2021-04-15,11.815533980
2021-04-16,11.397125567
2021-04-17,11.743421052
2021-04-18,11.613043478
2021-04-19,11.606521739
2021-04-20,11.647112462
2021-04-21,11.427325581
2021-04-22,12.052872215
2021-04-23,11.626946107
2021-04-26,11.527777777
2021-04-27,10.625925925
2021-04-28,9.933112582
2021-04-29,8.933653846
2021-04-30,9.941618497
2021-05-01,10.527450980
2021-05-02,10.087179487
2021-05-03,10.820512820
2021-05-04,11.162736842
2021-05-05,11.087213740
2021-05-06,11.537883008
2021-05-07,11.382880755
2021-05-08,11.245927601
2021-05-09,11.118715995
2021-05-10,11.758608781
2021-05-11,11.778048780
2021-05-12,11.758463385
2021-05-13,11.666919831
2021-05-14,11.521474358
2021-05-15,11.630188679
2021-05-16,11.472703412
2021-05-17,11.720689655
2021-05-18,11.421789321
2021-05-19,11.312422360
2021-05-20,11.559475929
2021-05-21,11.396898263
2021-05-22,11.519895287
2021-05-23,11.568005738
2021-05-24,11.370267197
2021-05-25,11.552221814
2021-05-26,11.546671149
2021-05-27,11.639288811
2021-05-28,11.528378378
2021-05-29,11.417621621
2021-05-30,11.270725995
2021-05-31,11.744164759
2021-06-01,11.104608294
2021-06-02,10.649813432
2021-06-03,10.745463917
2021-06-04,10.690669240
2021-06-05,10.562763915
2021-06-06,10.585829493
2021-06-07,10.508298507
2021-06-08,10.549070887
2021-06-09,10.619636963
2021-06-10,10.498602375
2021-06-11,10.623632610
2021-06-12,10.578236397
2021-06-13,10.509880239
2021-06-14,10.596710526
2021-06-15,10.700000000
2021-06-16,10.731256599
2021-06-17,10.583502824
2021-06-18,10.907260726
2021-06-19,10.704811443
2021-06-20,10.550669642
2021-06-21,10.637720553
2021-06-22,10.724191461
2021-06-23,10.706227630
2021-06-24,10.703445692
2021-06-25,10.721359223
2021-06-26,10.440364188
2021-06-27,10.661367013
2021-06-28,10.770883882
2021-06-29,10.637719298
2021-06-30,10.577822580
2021-07-01,10.414167812
2021-07-02,10.473501577
2021-07-03,10.188383838
2021-07-04,10.475068493
2021-07-05,10.500471698
2021-07-06,10.512025316
2021-07-07,10.542299349
2021-07-08,10.500836820
2021-07-09,10.600536193
2021-07-10,10.742410714
2021-07-11,10.724000000
2021-07-12,10.767492260
2021-07-13,10.622788203
2021-07-14,10.617009038
2021-07-15,10.755263157
2021-07-16,10.768373493
2021-07-17,10.769270833
2021-07-18,10.711217641
2021-07-19,11.024431818
2021-07-20,10.744206479
2021-07-21,10.610412262
2021-07-22,10.667268623
2021-07-23,10.767325367
2021-07-24,10.812417582
2021-07-25,10.716818642
2021-07-26,10.849083438
2021-07-27,10.669962763
2021-07-28,10.790748663
2021-07-29,10.589278876
2021-07-30,9.988760330
2021-07-31,9.934669811
2021-08-01,9.862388059
2021-08-02,8.672496972
2021-08-03,8.530741672
2021-08-04,8.448032684
2021-08-05,11.031545064
2021-08-06,10.096236559
2021-08-07,9.977777777
2021-08-08,10.055000000
2021-08-09,10.613021702
2021-08-10,10.479715762
2021-08-11,10.370434782
2021-08-12,10.370242914
2021-08-13,10.438949671
2021-08-14,10.360544217
2021-08-15,10.007909604
2021-08-16,10.401323529
2021-08-17,10.273493975
2021-08-18,10.513630731
2021-08-19,10.404247104
2021-08-20,10.430176565
2021-08-21,10.285439560
2021-08-22,10.234210526
2021-08-23,10.386615044
2021-08-24,10.262020905
2021-08-25,10.381762295
2021-08-26,10.344819557
2021-08-27,10.301312335
2021-08-28,10.218773946
2021-08-29,10.146846846
2021-08-30,10.313960113
2021-08-31,10.167200000
2021-09-01,10.227205882
2021-09-02,10.356839309
2021-09-03,10.307871720
2021-09-04,10.235714285
2021-09-05,10.202647657
2021-09-06,10.250470219
2021-09-07,10.333706070
2021-09-08,10.304553119
2021-09-09,10.299101796
2021-09-10,10.280808080
2021-09-11,10.292137096
2021-09-12,10.222593320
2021-09-13,10.150458715
2021-09-14,10.161565420
2021-09-15,10.220843373
2021-09-16,10.230537634
2021-09-17,10.277900552
2021-09-18,10.078911564
2021-09-19,10.156951871
2021-09-20,10.132318104
2021-09-21,11.058612143
2021-09-22,11.763736263
2021-09-23,11.771125611
2021-09-24,11.867355371
2021-09-25,11.830742049
2021-09-26,11.772064777
2021-09-27,11.834189723
